Date,Sno,Cummlative cases,Death ,Recoverd ,Active cases 
2/3/20,1,1,0,0,1
3/3/20,2,1,0,0,1
4/3/20,3,2,0,0,2
5/3/20,4,5,0,0,5
6/3/20,5,5,0,0,5
7/3/20,6,7,0,0,7
8/3/20,7,11,0,0,11
9/3/20,8,15,0,0,15
10/3/20,9,20,0,0,20
11/3/20,10,21,0,0,21
12/3/20,11,45,0,1,44
13/03/2020,12,86,0,1,85
14/03/2020,13,103,0,2,101
15/03/2020,14,118,0,3,115
16/03/2020,15,133,0,6,127
17/03/2020,16,171,0,6,165
18/03/2020,17,238,0,8,230
19/03/2020,18,274,0,8,266
20/03/2020,19,344,0,8,336
21/03/2020,20,392,0,24,368
22/03/2020,21,511,0,24,487
23/03/2020,22,562,0,24,538
24/03/2020,23,767,1,28,738
25/03/2020,24,900,2,29,869
26/03/2020,25,1012,3,33,976
27/03/2020,26,1104,3,35,1066
28/03/2020,27,1203,4,37,1162
29/03/2020,28,1299,8,66,1225
30/03/2020,29,1453,8,115,1330
31/03/2020,30,1563,10,165,1388
1/4/20,31,1720,16,264,1440
2/4/20,32,1885,21,328,1536
3/4/20,33,2039,25,351,1663
4/4/20,34,2221,29,420,1772
5/4/20,35,2402,34,488,1880
6/4/20,36,2605,38,551,2016
7/4/20,37,2932,41,631,2260
8/4/20,38,3287,44,666,2577
9/4/20,39,3651,47,685,2919
10/4/20,40,4033,52,720,3261
11/4/20,41,4462,59,761,3642
12/4/20,42,4934,65,805,4064
13/04/2020,43,5369,73,889,4407
14/04/2020,44,5862,79,931,4852
15/04/2020,45,6380,83,990,5307
16/04/2020,46,7142,87,1049,6006
17/04/2020,47,8274,92,1329,6853
18/04/2020,48,9362,97,1398,7867
19/04/2020,49,10484,103,1490,8891
20/04/2020,50,11631,109,1640,9882
21/04/2020,51,12772,114,1812,10846
22/04/2020,52,13930,121,1925,11884
23/04/2020,53,15102,127,2049,12926
24/04/2020,54,16299,136,2215,13948
25/04/2020,55,17522,139,2357,15026
26/04/2020,56,18811,144,2531,16136
27/04/2020,57,20077,152,2784,17141
